;date;type;registration;operator;fatalities;location;country;cat;corrected_year
61;1919-08-02;CAPRONI CA.48;UNREG.;CAPRONI;14;VERONA;ITALY;A1;1919
62;1919-08-11;FELIXSTOWE FURY;N123;RAF;1;NEAR FELIXTOWE RNAS;U.K.;A1;1919
63;1920-02-23;HANDLEY PAGE O/7;G-EANV;HANDLEY PAGE TRANSPORT;0;ACADIA SIDING, C...;SOUTH AFRICA;A1;1920
64;1920-02-25;HANDLEY PAGE O/400;G-EAMC;HANDLEY PAGE TRANSPORT;0;NEAR EL SHEREIK;SUDAN;A1;1920
65;1920-06-30;HANDLEY PAGE O/400;G-EAKE;HANDLEY PAGE TRANSPORT;0;ÃSTANÃ¥;SWEDEN;A1;1920
66;1920-12-14;HANDLEY PAGE O/400;G-EAMA;HANDLEY PAGE TRANSPORT;4;GOLDERS GREEN;U.K.;A1;1920
67;1921-01-15;AEROMARINE 75;UNREG.;AEROMARINE AIRWAYS;0;HAVANA HARBOUR;CUBA;O1;1921
68;1921-03-02;HANDLEY PAGE O/7;G-IAAC;HP INDO-BURMESE TRANSPORT;0;MEERUT;INDIA;O1;1921
69;1921-03-04;CAPRONI CA.60 NOVIPLANO;UNREG.;CAPRONI;0;LAGO MAGGIORE;ITALY;A1;1921
70;1921-08-26;FARMAN F.60 GOLIATH;O-BLAN;SNETA;2;NEAR CALAIS [THE ENGL...;FRANCE;A1;1921
71;1921-09-27;FARMAN F.60 GOLIATH;O-BRUN;SNETA;0;EVERE AIRFIELD;BELGIUM;O1;1921
72;1921-09-27;FARMAN F.60 GOLIATH;O-BLEU;SNETA;0;EVERE AIRFIELD;BELGIUM;O1;1921
73;1921-12-30;HANDLEY PAGE O/10;G-EATM;HANDLEY PAGE TRANSPORT;0;BERCK-SUR-MER;FRANCE;U1;1921
74;1922-01-22;HANDLEY PAGE O/10;G-EATN;HANDLEY PAGE TRANSPORT;0;NEAR SENLIS;FRANCE;A1;1922
75;1922-03-31;HANDLEY PAGE O/7;UNREG.;CHINESE GOVERNMENT;14;NEAR BEIJING-NANYUAN ...;CHINA;A1;1922
76;1922-04-07;FARMAN F.60 GOLIATH;F-GEAD;GRANDS EXPRESS AÃ©RIENS;5;THIEULOY-SAINT-A...;FRANCE;A1;1922
77;1923-01-13;AEROMARINE 75;UNREG.;AEROMARINE AIRWAYS;4;NEAR HAVANA, CUBA;ATLANTIC OCEAN;A1;1923
78;1923-05-14;FARMAN F.60 GOLIATH;F-AEBY;AIR UNION;6;MONSURES, SOMME;FRANCE;A1;1923
79;1923-06-25;FARMAN F.60 GOLIATH;F-AEDL;AIR UNION;0;NEAR ÃTAPLES;FRANCE;A1;1923
80;1923-07-10;HANDLEY PAGE W.8;G-EAPJ;HANDLEY PAGE TRANSPORT;0;POIX;FRANCE;A1;1923
81;1923-07-15;FARMAN F.60 GOLIATH;F-AEEE;COMPAGNIE AÃ©RIENNE FRANÃ§AISE;0;NEAR VALENCIENNES;FRANCE;A1;1923
82;1923-08-27;FARMAN F.60 GOLIATH;F-AECB;AIR UNION;1;EAST MALLING, KENT;U.K.;A1;1923
83;1923-12-03;FARMAN F.60 GOLIATH;F-AEIF;AIR UNION;0;LITTLESTONE, KENT;U.K.;A1;1923
85;1924-01-22;FARMAN F.60 GOLIATH;F-GEAO;AIR UNION;0;LONDON-CROYDON A...;U.K.;A1;1924
86;1924-08-06;FARMAN F.60 GOLIATH;F-ADDT;AIR UNION;0;GOLDEN GREEN, NE...;U.K.;A2;1924
87;1924-08-24;FARMAN F.61 GOLIATH;F-ADFP;SGTA;0;NEAR AMSTERDAM-SCHIPH...;NETHERLANDS;A1;1924
88;1925-10-16;FARMAN F.60 GOLIATH;F-HMFU;AIR UNION;3;WADHURST, EAST S...;U.K.;A1;1925
89;1925-11-14;FARMAN F.60 GOLIATH;F-FHMY;AIR UNION;0;NEAR BOULOGNE [ENGLIS...;FRANCE;A2;1925
90;1926-08-18;BLÃ©RIOT 155;F-AIEB;AIR UNION;4;HURST, NEAR ASHF...;U.K.;A1;1926
91;1926-10-02;BLÃ©RIOT 155;F-AICQ;AIR UNION;7;LEIGH, KENT;U.K.;A1;1926
92;1926-10-21;HANDLEY PAGE W.10;G-EBMS;IMPERIAL AIRWAYS;0;ENGLISH CHANNEL;U.K.;A1;1926
93;1926-11-20;JUNKERS G.24;D-944;DEUTSCHE LUFTHANSA;0;KÃ¶NIGSBERG;GERMANY;A1;1926
94;1927-05-05;FARMAN F.61 GOLIATH;F-ADFN;SGTA;2;ATLANTIC OCEAN;ATLANTIC OCEAN;A1;1927
95;1927-08-22;FOKKER F.VIII;H-NADU;KLM;1;ST. JULIANS, SEV...;U.K.;A1;1927
96;1928-02-15;HANDLEY PAGE W.8B;G-EBBG;IMPERIAL AIRWAYS;0;NEAR ABBEVILLE;FRANCE;A1;1928
97;1928-03-11;FARMAN F.60 GOLIATH;F-AEFC;AIR UNION;2;NEAR FOLKESTONE, KENT...;U.K.;A1;1928
98;1928-04-11;FOKKER F.VIII;H-NAEE;KLM;0;NIGTEVECHT;NETHERLANDS;A1;1928
99;1928-04-19;JUNKERS G.24;D-946;DEUTSCHE LUFTHANSA;0;SPAICHINGEN;GERMANY;A1;1928
100;1928-05-12;FORD 4-AT-A TRI-MOTOR;NC1492;FORD AIR FREIGHT LINES;2;DEARBORN, MI;USA;A1;1928
101;1928-05-23;FARMAN F.63BIS GOLIATH;F-AEIE;SGTA;3;NEAR KÃ¶LN-BUTZWEILER...;GERMANY;A1;1928
102;1928-08-25;FORD 4-AT-B TRI-MOTOR;G-CATX;BRITISH COLUMBIA AIRWAYS;7;NEAR PORT TOWNSEND, WA;USA;A1;1928
103;1928-09-25;JUNKERS G.31DE;D-1427;DEUTSCHE LUFTHANSA;0;ARNSBERG;GERMANY;A1;1928
104;1928-10-13;FORD 4-AT-A TRI-MOTOR;NC880;STOUT AIR SERVICES;0;DETROIT, MI;USA;A1;1928
105;1928-11-23;FORD 4-AT-B TRI-MOTOR;NC7687;SPOKANE AIRWAYS;3;MORAN PRAIRIE, S...;USA;A1;1928
106;1928-12-01;FORD 4-AT-C TRI-MOTOR;NC7862;SUNBEAM AIR TRANSPORT CO.;5;NEAR SPUR, TX;USA;A1;1928
107;1928-12-11;JUNKERS G.31FI;D-1473;DEUTSCHE LUFTHANSA;3;LETZLINGEN;GERMANY;A1;1928
108;1928-12-22;FORD 4-AT-A TRI-MOTOR;NC3443;TEXACO;0;FLORESVILLE, TX;USA;A1;1928
110;1929-01-16;FORD 4-AT-A TRI-MOTOR;NC1076;STOUT AIR SERVICES;0;NEAR TOLEDO, OH;USA;A1;1929
112;1929-03-17;FORD 4-AT-B TRI-MOTOR;NC7683;COLONIAL WESTERN AIRLINES;14;NEAR NEWARK AIRPORT, ...;USA;A1;1929
113;1929-03-19;FORD 5-AT-B TRI-MOTOR;NC9674;FORD MOTOR COMPANY;4;DEARBORN, MI;USA;A1;1929
114;1929-04-12;DORNIER DO R4 SUPERWAL;I-RIDE;SANA;0;NEAR NAPOLI;ITALY;O1;1929
115;1929-04-21;FORD 5-AT-B TRI-MOTOR;NC9636;MADDUX AIRLINES;6;NEAR SAN DIEGO AIRPOR...;USA;A1;1929
116;1929-05-16;VICKERS 170 VANGUARD;G-EBCP;VICKERS-ARMSTRONGS;2;SHEPPERTON;U.K.;A1;1929
117;1929-05-19;FARMAN F.63BIS GOLIATH;F-GEAI;AIR UNION;0;PADDOCK WOOD, KENT;U.K.;A1;1929
118;1929-06-02;FOKKER F.10A;NC393E;WESTERN AIR EXPRESS;0;WICHITA, KS;USA;O1;1929
119;1929-06-13;FOKKER F.10A;NC9700;PAN AM;2;SANTIAGO AIRPORT...;CUBA;A1;1929
120;1929-06-17;HANDLEY PAGE W.10;G-EBMT;IMPERIAL AIRWAYS;7;NEAR DUNGENESS;U.K.;A1;1929
121;1929-06-24;FORD 5-AT-A TRI-MOTOR;NC7416;NORTHWEST AIRWAYS;1;SAINT PAUL, MN;USA;A1;1929
122;1929-08-29;JUNKERS G.24LI;SE-AAF;AB AEROTRANSPORT;0;EMSLAND;GERMANY;A1;1929
123;1929-09-03;FORD 5-AT-B TRI-MOTOR;NC9649;TRANSCONTINENTAL AIR TRANSPORT - TAT;8;NEAR GALLUP, NM;USA;A1;1929
124;1929-09-06;DH.66 HERCULES;G-EBMZ;IMPERIAL AIRWAYS;3;JASK AIRPORT;IRAN;A1;1929
125;1929-09-10;ROHRBACH RO X ROMAR I;D-1734;DEUTSCHE LUFTHANSA;0;NEAR GRÃ¶MITZ;GERMANY;A1;1929
126;1929-10-19;SABCA (HANDLEY PAGE) W.8B;OO-AHK;SABENA;0;EDEGEM;BELGIUM;A1;1929
127;1929-10-26;SHORT S.8/1 CALCUTTA;G-AADN;IMPERIAL AIRWAYS;7;NEAR LA SPEZIA;ITALY;A1;1929
129;1929-11-06;JUNKERS G.24BI;D-903;DEUTSCHE LUFTHANSA;7;NEAR GODSTONE, SURREY;U.K.;A1;1929
130;1929-11-18;ROHRBACH RO X ROMAR I;D-1693;DEUTSCHE LUFTHANSA;0;LÃ¼BECK-TRAVEMÃ¼...;GERMANY;A1;1929
131;1929-11-27;FOKKER F.32;NX124M;FOKKER AIRCRAFT CORP. OF AMERICA;0;NEAR HEMPSTEAD-ROOSEV...;USA;A1;1929
132;1929-12-04;CURTISS B-2 CONDOR (CONDOR 18);29-28;USAAC;1;GOODWATER, AL;USA;A1;1929
133;1929-12-12;FARMAN F.180T;F-AIVR;SGTA;0;TOUSSUS-LE-NOBLE;FRANCE;O1;1929
134;1929-12-26;FOKKER F.10;NC5358;WESTERN AIR EXPRESS;0;OAKLAND MUNICIPA...;USA;A1;1929
135;1930-01-19;FORD 5-AT-C TRI-MOTOR;NC9689;MADDUX AIRLINES;16;OCEANSIDE, CA;USA;A1;1930
136;1930-02-07;JUNKERS R-42 (G.24);J6;CHILEAN AF;2;NEAR PUNTA ARENAS;CHILE;A1;1930
137;1930-02-08;FORD 4-AT-A TRI-MOTOR;NC2492;PRIVATE;0;SAN MARCOS, TX;USA;A1;1930
138;1930-02-10;FARMAN F.63BIS GOLIATH;F-FHMY;AIR UNION;2;MARDEN, KENT;U.K.;A1;1930
139;1930-02-14;DH.66 HERCULES;G-EBNA;IMPERIAL AIRWAYS;0;GAZA;ISRAEL;A1;1930
140;1930-02-23;FOKKER F.10A;NC279E;WESTERN AIR EXPRESS;3;NEAR SAN BERNARDINO, CA;USA;A1;1930
141;1930-03-02;FORD 4-AT-A TRI-MOTOR;R-131;NYRBA;0;CORDOBA;ARGENTINA;A1;1930
142;1930-04-08;FORD 5-AT-C TRI-MOTOR;R-148;TRI-MOTOR SAFETY AIRWAYS;0;BUENOS AIRES;ARGENTINA;A1;1930
143;1930-05-31;HANDLEY PAGE W.9A HAMPSTEAD;VH-ULK;ELLYOU GOLDFIELDS DEVELOPMENT;0;MOUNT MISIM;P.N. GUINEA;A1;1930
144;1930-06-05;FORD 5-AT-B TRI-MOTOR;NC9675;COLONIAL AIR TRANSPORT;1;BOSTON, MA;USA;A1;1930
145;1930-06-25;FORD 5-AT-A TRI-MOTOR;NC7739;NORTHWEST AIRWAYS;0;CHICAGO MUNICIPA...;USA;O1;1930
146;1930-06-25;FOKKER F.10A;NC457E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
147;1930-06-25;FOKKER F.10A;NC879E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
148;1930-06-25;FOKKER F.10A;NC803E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
149;1930-06-25;FOKKER F.10A;NC135E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
150;1930-06-25;FOKKER F.10;NC8010;SHELL OIL;0;CHICAGO, IL;USA;O1;1930
151;1930-06-25;FOKKER F.10;NC5614;NORTHERN AIRLINES;0;CHICAGO, IL;USA;O1;1930
152;1930-07-09;FARMAN F.63BIS GOLIATH;F-ADFQ;SGTA;1;AALSMEER;NETHERLANDS;A1;1930
153;1930-07-12;CURTISS CONDOR 18;NC.....;CURTISS;0;VALLEY STREAM, NY;USA;A1;1930
154;1930-08-04;FORD JR-3 (5-AT-C) TRI-MOTOR;A8598;USMC;0;OCOTAL, NUEVA SE...;NICARAGUA;A1;1930
155;1930-08-22;FORD 5-AT-C TRI-MOTOR;OK-FOR;CSA;12;JIHLAVA (IGLAU);CZECH REP.;A1;1930
156;1930-09-03;FOKKER F.10A;NC810H;PAN AM;0;SANTO DOMINGO;DOMINICAN REP.;O1;1930
157;1930-10-30;HANDLEY PAGE W.8G;G-EBIX;IMPERIAL AIRWAYS;3;BOULOGNE, PARIS;FRANCE;A1;1930
158;1930-11-07;JUNKERS G.24;P-BAHA;SYNDICATO CONDOR;1;NEAR IGUAPE, SP;BRAZIL;A1;1930
159;1930-11-21;FORD 4-AT-B TRI-MOTOR;NC7118;CURTISS-WRIGHT FLYING SERVICE;0;BURBANK, CA;USA;O1;1930
160;1930-11-21;DORNIER DO R4 SUPERWAL;I-RONY;SANA;6;NEAR CAP DE CREUS, SPAIN;MEDITERRANEAN SEA;A1;1930
161;1930-11-22;FOKKER F.10A;NC580K;SOUTHERN AIR FAST EXPRESS;0;DALLAS-LOVE FIEL...;USA;U1;1930
162;1930-11-24;FORD 5-AT-C TRI-MOTOR;NX419H;FORD MOTOR COMPANY;2;DEARBORN, MI;USA;A1;1930
163;1930-12-20;FORD 4-AT-E TRI-MOTOR;NC9611;PITTSBURGH AIRWAYS;0;JENNERSTOWN, PA;USA;A1;1930
164;1930-12-22;FOKKER F.10;NC5170;WESTERN AIR EXPRESS;0;ALHAMBRA, CA;USA;A1;1930
166;1931-01-27;FORD 5-AT-B TRI-MOTOR;NC9647;TWA;0;HARRISBURG, PA;USA;A1;1931
167;1931-02-21;FORD TRI-MOTOR;UNREG.;PANAGRA;0;AREQUIPA AIRPORT...;PERU;H2;1931
168;1931-03-31;FOKKER F.10A;NC999E;TWA;8;NEAR BAZAAR, KS;USA;A1;1931
169;1931-04-01;FORD 5-AT-C TRI-MOTOR;NC8418;PANAGRA;0;OVALLE AIRPORT (...;CHILE;A1;1931
170;1931-04-17;FORD 5-AT-C TRI-MOTOR;CV-FAI;PRIVATE;0;NEAR MOHANIA, BIHAR;INDIA;A1;1931
171;1931-04-18;JUNKERS F.24KO (G.24);D-896;DEUTSCHE LUFTHANSA;0;GEX (AIN);FRANCE;A2;1931
172;1931-04-19;DH.66 HERCULES;G-EBMW;IMPERIAL AIRWAYS;0;NEAR KUPANG;INDONESIA;A1;1931
173;1931-04-22;A.W. ARGOSY II;G-AACH;IMPERIAL AIRWAYS;0;LONDON-CROYDON A...;U.K.;A1;1931
174;1931-04-29;FORD 5-AT-C TRI-MOTOR;NC421H;NATIONAL AIR TRANSPORT;0;NEAR ELYRIA, OH;USA;A1;1931
175;1931-06-11;JUNKERS G.24;SE-AAG;AB AEROTRANSPORT;0;MALMÃ¶-BULLTOFTA...;SWEDEN;O1;1931
176;1931-06-16;A.W. ARGOSY IA;G-EBLO;IMPERIAL AIRWAYS;0;ASWAN;EGYPT;A1;1931
177;1931-08-04;FOKKER F.IX;PH-AFK;KLM;0;ROTTERDAM-WAALHA...;NETHERLANDS;A1;1931
178;1931-08-07;FOKKER F.10A;X-ABCR;MEXICANA;0;MIAMI, FL;USA;A1;1931
179;1931-08-09;FORD 5-AT-B TRI-MOTOR;NC9662;AMERICAN AIRWAYS;6;CINCINNATI, OH;USA;A1;1931
180;1931-08-19;FORD 5-AT-B TRI-MOTOR;NC9554;TWA;0;PITTSBURGH, PA;USA;A1;1931
181;1931-08-27;SIKORSKY S.41B;NC41V;BOSTON-MAINE AIRWAYS;1;NEAR GLOUCESTER, MA;USA;A1;1931
182;1931-09-19;FORD XB-906 (TRI-MOTOR);NX9652;FORD MOTOR COMPANY;2;NEAR DEARBORN, MI;USA;A1;1931
183;1931-10-27;FORD 5-AT-C TRI-MOTOR;NC427H;NATIONAL AIR TRANSPORT;0;ASHLEY, IN;USA;A1;1931
184;1931-12-19;FORD 4-AT-E TRI-MOTOR;NC7119;TWA;1;OKLAHOMA CITY, OK;USA;A1;1931
185;1932-02-08;FOKKER F.10A;NC812H;TRANSAMERICAN AIRLINES;0;DETROIT, MI;USA;O1;1932
186;1932-03-15;FORD 4-AT-B TRI-MOTOR;NC4805;SKYWAY;0;BLACKWELL AIRPOR...;USA;O1;1932
187;1932-03-19;FOKKER F.10A;NC652E;AMERICAN AIRWAYS;7;CALIMESA, CA;USA;A1;1932
188;1932-06-27;JUNKERS PS-5 (G.24);CCCP-L718;DOBROLET;0;NIZHNETAMBOVSK;RUSSIA;A1;1932
189;1932-07-10;BOEING 80A;NC229M;BOEING AIR TRANSPORT;0;STERLING, IL;USA;A1;1932
190;1932-07-16;FORD 5-AT-C TRI-MOTOR;NC403H;PANAGRA;9;NEAR VITACURA;CHILE;A1;1932
191;1932-07-29;JUNKERS JU-52/3MCE;D-2201;DEUTSCHE LUFTHANSA;0;NEAR SCHLEISSHEIM AER...;GERMANY;A2;1932
192;1932-08-31;JUNKERS G.24;SE-AAE;AB AEROTRANSPORT;2;TUBBERGEN;NETHERLANDS;A1;1932
193;1932-09-08;FOKKER F.10A;NC9716;AMERICAN AIRWAYS;3;NEAR SALT FLAT, TX;USA;A1;1932
194;1932-09-17;LIORÃ© ET OLIVIER 212;F-AIFE;AIR UNION;1;SELSDON PARK;U.K.;A1;1932
195;1932-10-02;FORD 5-AT-B TRI-MOTOR;NC9664;PAN AM;0;EL ACEITUNO, CHO...;HONDURAS;A1;1932
196;1932-10-26;FORD 5-AT-D TRI-MOTOR;UNREG.;LAB;2;VILLAMONTES, GRA...;BOLIVIA;A1;1932
197;1932-12-11;FOKKER F.10A;NC39N;WESTERN AIR EXPRESS;0;LYNNDYL, UT;USA;U1;1932
198;1932-12-14;FORD 5-AT-B TRI-MOTOR;NC9650;TWA;2;AMARILLO-ENGLISH...;USA;A1;1932
199;1933-01-13;LIORÃ© ET OLIVIER 213;F-AJNS;AIR UNION;0;POIX-DE-PICARDIE;FRANCE;A1;1933
200;1933-01-14;CURTISS CONDOR 18;NC185H;EASTERN AIR TRANSPORT;2;NEWARK, NJ;USA;A1;1933
201;1933-01-24;FORD 5-AT-D TRI-MOTOR;NC431H;PACIFIC AIR TRANSPORT;2;EUGENE, OR;USA;A1;1933
202;1933-02-10;FORD 5-AT-B TRI-MOTOR;NC9666;TWA;0;BAKERSFIELD, CA;USA;A1;1933
203;1933-03-22;FORD JR-3 (5-AT-C) TRI-MOTOR;A8599;USMC;0;VIRGINIA BEACH, VA;USA;A1;1933
204;1933-03-28;A.W. ARGOSY II;G-AACI;IMPERIAL AIRWAYS;15;NEAR DIKSMUIDE;BELGIUM;A1;1933
205;1933-03-31;FORD 4-AT-B TRI-MOTOR;NC7686;PRIVATE;7;NEAR NEODESHA, KS;USA;A1;1933
206;1933-05-27;JUNKERS JU-52/1MCAI;D-2356;RDL;0;ZECHLINER HÃ¼TTE;GERMANY;A1;1933
207;1933-06-02;FORD 4-AT-E TRI-MOTOR;NR9614;PLANE SPEAKER CORPORATION;0;HEMPSTEAD-ROOSEV...;USA;O1;1933
208;1933-08-11;DORNIER DO R4 SUPERWAL;I-RATA;SANA;0;NEAR VALENCIA;SPAIN;A1;1933
209;1933-08-13;JUNKERS PS-5 (G.24);CCCP-L743;DOBROLET;0;UNKNOWN;RUSSIA;U1;1933
210;1933-08-29;FORD 5-AT-B TRI-MOTOR;NC9607;TWA;5;NEAR QUAY, NM;USA;A1;1933
211;1933-09-21;CURTISS T-32 CONDOR II;NC12373;EASTERN AIR TRANSPORT;0;NEWARK, NJ;USA;A1;1933
212;1933-10-18;FORD 4-AT-B TRI-MOTOR;NC4806;PRIVATE;3;MANAGUA;NICARAGUA;A1;1933
213;1933-11-16;LIORÃ© ET OLIVIER 213;F-AIFD;AIR FRANCE;0;NEAR BEAUVAIS;FRANCE;A1;1933
214;1933-11-21;KALININ K-7;UNREG.;KALININ DESIGN BUREAU;15;NEAR KHARKOV;UKRAINE;A1;1933
215;1933-11-24;FOKKER F.10A;X-ABEA;AEROVÃ­AS CENTRALES;0;LEÃ³N;MEXICO;A1;1933
216;1934-01-15;DEWOITINE D.332;F-AMMY;AIR FRANCE;10;CORBIGNY;FRANCE;A1;1934
217;1934-03-05;FORD 4-AT-B TRI-MOTOR;NC7120;MORGAN AIR LINES;1;TONCONTÃ­N;HONDURAS;A1;1934
218;1934-03-10;JUNKERS F.24K2AY (G.24);D-1019;DEUTSCHE LUFTHANSA;0;GLIWICE;POLAND;A1;1934
219;1934-03-22;FORD 5-AT-C TRI-MOTOR;NC407H;PANAGRA;4;LIMA-LIMATAMBO A...;PERU;A1;1934
220;1934-05-31;LIORÃ© ET OLIVIER 213;F-AIVG;AIR FRANCE;2;CROYDON;U.K.;A1;1934
221;1934-06-09;CURTISS T-32 CONDOR II;NC12354;AMERICAN AIRWAYS;7;NEAR LIVINGSTON MANOR...;USA;A1;1934
222;1934-06-11;FORD C-4A (5-AT-D) TRI-MOTOR;31-403;USAAC;0;CAMP SKEEL, OSCO...;USA;A1;1934
223;1934-06-11;FORD 5-AT-C TRI-MOTOR;NC8417;PANAGRA;5;JUNIN;ARGENTINA;A1;1934
224;1934-06-23;FORD 4-AT-B TRI-MOTOR;NC7685;MULZER FLYING SERVICE;0;COLUMBUS, OH;USA;O1;1934
225;1934-07-01;FORD 4-AT-D TRI-MOTOR;NC7586;PRIVATE;0;LIMA, OH;USA;A1;1934
226;1934-07-27;CURTISS AT-32C CONDOR II;CH-170;SWISSAIR;12;WURMLINGEN/TUTTL...;GERMANY;A1;1934
227;1934-08-23;JUNKERS PS-5 (G.24);CCCP-L742;DOBROLET;0;UNKNOWN;RUSSIA;A1;1934
228;1934-09-02;FORD 5-AT-D TRI-MOTOR;NC9655;HANFORD'S TRI-STATE AIRLINES;0;COCHRANE, WI;USA;A1;1934
229;1934-09-22;HANDLEY PAGE W.10;G-EBMM;NATIONAL AVIATION DISPLAYS;4;ASTON CLINTON, B...;U.K.;A1;1934
230;1934-09-27;FOKKER F.10A;X-ABCS;MEXICANA;0;IRAPUATO;MEXICO;A1;1934
231;1934-10-19;DH.86 EXPRESS;VH-URN;HOLYMAN'S AIRWAYS;11;NEAR WILSONS PROMONTO...;AUSTRALIA;A1;1934
232;1934-10-26;FORD 4-AT-E TRI-MOTOR;NC8403;PTARMIGAN AIRLINES;0;FLAT AIRPORT, AK...;USA;A1;1934
233;1934-10-29;FORD 4-AT-.  TRI-MOTOR;UNREG.;TACA DE HONDURAS;0;LA CEIBA AIRPORT...;HONDURAS;O1;1934
234;1934-11-06;JUNKERS JU-52/3MGE;D-AVAN;DEUTSCHE REICHSBAHN-GESELLSCHAFT;5;GROSS-RACKITT, P...;POLAND;A1;1934
235;1934-11-15;DH.86 EXPRESS;VH-USG;QANTAS;4;NEAR ILFRACOMBE, QLD;AUSTRALIA;A1;1934
236;1934-12-10;FORD 4-AT-E TRI-MOTOR;NM-7;CUBANA;4;NEAR PALMA SORIANO;CUBA;A1;1934
237;1934-12-19;CURTISS AT-32B CONDOR II;NC12395;AMERICAN AIRWAYS;0;BUFFALO, NY;USA;A1;1934
238;1934-12-20;DOUGLAS DC-2-115A;PH-AJU;KLM;7;NEAR RUTBAH WELLS;IRAQ;A1;1934
239;1934-12-28;CURTISS T-32C CONDOR II;NC12363;AMERICAN AIRWAYS;0;NEAR WILMURT, NY;USA;A1;1934
241;1935-01-23;CURTISS T-32 CONDOR II;NC12376;EASTERN AIR TRANSPORT;0;ATLANTA, GA;USA;A1;1935
242;1935-01-31;JUNKERS JU-52/3MGE;D-AREN;DERULUFT;11;NEAR SZCZECIN;POLAND;A1;1935
243;1935-04-06;FOKKER F.XII;PH-AFL;KLM;7;NEAR BRILON;GERMANY;A1;1935
244;1935-04-16;CONSOLIDATED 16 COMMODORE;NC660M;PAN AM;0;MIAMI, FL;USA;O1;1935
245;1935-04-25;JUNKERS JU-52/3MHO;D-AJYR;DEUTSCHE LUFTHANSA;3;NEAR HALLGARTEN;GERMANY;A1;1935
246;1935-04-28;FORD 4-AT-B TRI-MOTOR;NC7863;PRIVATE;0;GADSDEN, AL;USA;A1;1935
247;1935-05-06;DOUGLAS DC-2-112;NC13785;TWA;5;NEAR ATLANTA, MO;USA;A1;1935
248;1935-05-07;FORD 4-AT-.  TRI-MOTOR;UNREG.;PRIVATE;1;LAKE IZABAL;GUATEMALA;A1;1935
249;1935-05-18;TUPOLEV ANT-20 MAXIM GORKY;CCCP-I20;TUPOLEV;44;MOSCOW;RUSSIA;A1;1935
250;1935-05-18;FORD 4-AT-E TRI-MOTOR;NC7864;KNOWLES FLYING SERVICE;3;FLINT-BISHOP AIR...;USA;A1;1935
251;1935-06-22;SAVOIA-MARCHETTI S-66;I-NAVE;ALA LITTORIA;0;MARSAXLOKK BAY;MALTA;A1;1935
252;1935-06-24;FORD 5-AT-B TRI-MOTOR;F-31;SACO;10;MEDELLÃ­N-ENRIQU...;COLOMBIA;A1;1935
253;1935-06-24;FORD 5-AT-D TRI-MOTOR;C-31;SCADTA;7;MEDELLÃ­N-ENRIQU...;COLOMBIA;A1;1935
254;1935-07-09;SAVOIA-MARCHETTI S-66;I-REDI;ALA LITTORIA;0;NEAR MAHÃ³N, MENORCA;SPAIN;A1;1935
255;1935-07-14;FOKKER F.XXII;PH-AJQ;KLM;6;NEAR AMSTERDAM-SCHIPH...;NETHERLANDS;A1;1935
256;1935-07-17;DOUGLAS DC-2-115E;PH-AKM;KLM;0;BUSHEHR (BUSHIRE...;IRAN;A1;1935
257;1935-07-20;DOUGLAS DC-2-115E;PH-AKG;KLM;13;PIAN SAN GIACOMO;SWITZERLAND;A1;1935
258;1935-07-22;JUNKERS JU-52/3M;UNREG.;GERMAN AF;11;HANSKÃ¼HNENBURG;GERMANY;A1;1935
259;1935-07-27;CURTISS AT-32B CONDOR II;NC12393;AMERICAN AIRWAYS;0;MURFREESBORO, TN;USA;A1;1935
260;1935-08-03;DOUGLAS DC-2-112;NC13722;TWA;0;NEAR ALBUQUERQUE, NM;USA;A1;1935
261;1935-10-02;DH.86 EXPRESS;VH-URT;HOLYMAN'S AIRWAYS;5;NEAR FLINDERS ISLAND,...;AUSTRALIA;A1;1935
262;1935-10-06;DOUGLAS DC-2A-127;NC14285;STANDARD OIL COMPANY;3;GREAT SALT LAKE, UT;USA;A1;1935
263;1935-10-21;CURTISS CONDOR 18;NC725K;CHAMBERLIN FLYING SERVICE;1;TROY, NY;USA;A1;1935
264;1935-10-22;DH.86 EXPRESS;G-ADCM;IMPERIAL AIRWAYS;0;ZWETTL;AUSTRIA;A1;1935
265;1935-10-24;FORD 5-AT-C TRI-MOTOR;UNREG.;PRIVATE;0;HANKOW;CHINA;C1;1935
266;1935-10-25;BOULTON PAUL P.71A;G-ACOY;IMPERIAL AIRWAYS;0;BRUSSEL-HAREN AI...;BELGIUM;A1;1935
267;1935-11-07;SAVOIA-MARCHETTI S.73P;OO-AGM;SABENA;0;LONDON-CROYDON A...;U.K.;A1;1935
268;1935-11-09;FORD 5-AT-.  TRI-MOTOR;UNREG.;TACA DE HONDURAS;0;NEAR JUTIAPA;HONDURAS;A1;1935
269;1935-11-09;SHORT S.17 KENT;G-ABFB;IMPERIAL AIRWAYS;0;BRINDISI;ITALY;O1;1935
270;1935-11-18;JUNKERS G.24HE;PP-CAS;SYNDICATO CONDOR;0;ILHÃ©US, BA;BRAZIL;A1;1935
271;1935-11-23;DH.66 HERCULES;G-ABCP;IMPERIAL AIRWAYS;0;LAKE SALISBURY;UGANDA;A1;1935
