;date;type;registration;operator;fatalities;location;country;cat;corrected_year
12302;1972-11-06;BOEING 727;UNREG.;JAL;0;TOKYO-HANEDA AIR...;JAPAN;H2;1972
12303;1972-11-06;FAIRCHILD C-123K PROVIDER;648;AIR AMERICA;0;NEAR PAKSONG;LAOS;C1;1972
12304;1972-11-08;BOEING 727-200;UNREG.;MEXICANA;0;HAVANA;CUBA;H2;1972
12305;1972-11-10;DC-9;UNREG.;SOUTHERN AIRWAYS;0;HAVANA;CUBA;H2;1972
12306;1972-11-13;ANTONOV AN-2TP;CCCP-09676;AEROFLOT, KRASNOYARSK;2;NEAR YENISEISK;RUSSIA;A1;1972
12307;1972-11-14;ANTONOV AN-2TP;CCCP-91726;AEROFLOT, YAKUTSK;0;NEAR LENSK;RUSSIA;A1;1972
12308;1972-11-15;FOKKER F-27 FRIENDSHIP 200;VH-FNI;ANSETT;1;ALICE SPRINGS AI...;AUSTRALIA;H2;1972
12309;1972-11-15;BN-2A-9 ISLANDER;F-BTGH;ROUSSEAU AVIATION;0;DINARD-PLEURTUIT...;FRANCE;A1;1972
12310;1972-11-17;DHC-6 TWIN OTTER 100;938;CHILEAN AF;3;SEGUNDO CORRAL A...;CHILE;A1;1972
12311;1972-11-17;DOUGLAS C-47A (DC-3);CF-FOL;S & H AVIATION SALES;3;NEAR ST. JOHNS, NL, C...;ATLANTIC OCEAN;A1;1972
12312;1972-11-20;SE-210 CARAVELLE III;YU-AJG;JAT;0;BEOGRAD AIRPORT ...;SERBIA;A1;1972
12313;1972-11-21;ANTONOV AN-12TB;CCCP-11360;AEROFLOT, MOSCOW;0;VORKUTA AIRPORT ...;RUSSIA;A1;1972
12314;1972-11-21;DOUGLAS EC-47Q (DC-3);43-49771;USAF;2;NEAR NAKHON PHANOM AI...;THAILAND;A1;1972
12315;1972-11-23;C-7A CARIBOU (DHC-4);401;USAF, OP.FOR AIR AMERICA;4;NEAR SARAVANE;LAOS;C1;1972
12316;1972-11-24;DC-8-60;UNREG.;AIR CANADA;1;FRANKFURT;GERMANY;H2;1972
